optimizer,learning rate,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness,non uniformity,sharpness test,non uniformity test
sgd,0.05,1000,19999,1748,0.00016,100.0,1.5777299999999999,81.7,1.0,7.0,0,0
adagrad,0.05,1000,16800,1600,0.0001,100.0,2.40028,79.7,3.0,24.0,0,0
lbfgs,0.05,1000,200,259,0.0,100.0,7.6330100000000005,79.7,3.0,22.0,0,0
sgd,0.1,5,154,242,0.0001,100.0,1.47739,82.7,0.0,0.0,0,0
adagrad,0.1,5,212,645,0.0001,100.0,2.32963,81.1,1.0,6.0,0,0
sgd,0.075,5,142,232,0.0001,100.0,1.6983400000000002,82.4,0.0,1.0,0,0
adagrad,0.075,5,196,629,0.0001,100.0,2.16103,81.3,1.0,6.0,0,0
sgd,0.01,5,606,978,0.0001,100.0,1.6973200000000002,81.9,1.0,4.0,0,0
adagrad,0.01,5,156,484,0.0001,100.0,1.51119,83.4,1.0,6.0,0,0
sgd,0.025,5,230,378,0.0001,100.0,1.66582,82.6,0.0,2.0,0,0
adagrad,0.025,5,130,402,0.0001,100.0,1.67996,82.8,0.0,4.0,0,0
sgd,0.1,50,620,132,0.0001,100.0,1.41603,82.7,0.0,2.0,0,0
adagrad,0.1,50,740,165,0.0001,100.0,2.07038,80.2,1.0,10.0,0,0
adagrad,0.01,50,220,50,0.0001,100.0,1.45634,82.9,1.0,5.0,0,0
sgd,0.01,50,7180,1395,0.0001,100.0,1.8591900000000001,81.2,2.0,9.0,0,0
adagrad,0.75,50,19999,4163,0.0006,100.0,61.53301999999999,73.0,427.0,3816.0,0,0
adagrad,0.025,100,360,43,9e-05,100.0,1.62178,82.4,0.3,3.0,0,0
sgd,0.025,100,5720,571,0.0001,100.0,1.8114599999999998,81.1,1.4,6.3,0,0
adagrad,0.001,5,6000,10159,0.0001,100.0,1.4977200000000002,82.5,1.0,8.0,0,0
adagrad,0.01,5,200,447,8e-05,100.0,1.7021,82.9,1.0,8.0,0,0
sgd,0.01,5,600,642,0.0001,100.0,1.63552,82.0,1.0,4.0,0,0
sgd,0.1,1000,9999,940,0.00016999999999999999,100.0,1.4096,82.5,1.0,5.0,0,0
lbfgs,0.1,1000,200,215,0.0,100.0,7.6266300000000005,79.0,1.0,10.0,0,0
adagrad,0.1,1000,9999,842,0.019530000000000002,99.2,3.18709,73.4,57.0,625.0,0,0
lbfgs,0.075,1000,201,234,0.0,100.0,11.26985,79.4,0.0,0.0,0,0
sgd,0.05,1000,9999,828,0.00044,100.0,1.3789200000000001,81.9,3.0,16.0,0,0
adagrad,0.05,1000,9999,808,0.00037999999999999997,100.0,2.95142,78.4,12.0,102.0,0,0
adagrad,0.1,1000,19999,1927,0.40693,81.6,2.5034,65.1,26.0,43.0,0,0
lbfgs,0.05,1000,201,259,0.0,100.0,8.58821,79.2,0.0,0.3,0,0
sgd,0.1,1000,14600,1343,0.0001,100.0,1.4668700000000001,82.7,1.0,3.0,0,0
sgd,0.025,1000,19999,1789,0.00044,100.0,1.53939,80.9,5.0,24.0,0,0
lbfgs,0.01,1000,400,2078,0.0,100.0,4.2664599999999995,80.2,0.0,0.0,0,0
adagrad,0.025,1000,1400,125,9e-05,100.0,1.9467599999999998,83.1,1.0,7.0,0,0
adagrad,0.001,25,6520,2818,0.0001,100.0,1.5080200000000001,82.5,1.0,8.0,0,0
sgd,0.01,1000,19999,1262,0.00213,100.0,1.34798,80.6,33.0,140.0,0,0
adagrad,0.1,100,1120,144,0.0001,100.0,2.41243,78.9,1.0,11.0,0,0
sgd,0.1,100,1400,145,0.0001,100.0,1.50334,82.3,1.0,3.0,0,0
adagrad,0.01,100,280,38,0.0001,100.0,1.47581,82.7,1.0,9.0,0,0
sgd,0.01,100,14600,1492,0.0001,100.0,1.8506099999999999,80.8,2.0,9.0,0,0
adagrad,0.75,100,19999,2637,1.17764,51.8,13.10159,38.9,125.0,1711.0,0,0
adagrad,0.075,100,1001,126,0.0001,100.0,2.4285400000000004,80.5,1.1,10.8,0,0
sgd,0.075,100,2001,205,9e-05,100.0,1.55103,82.3,0.6,3.3,0,0
adagrad,0.05,100,1401,183,9e-05,100.0,2.70933,80.1,0.7,8.5,0,0
sgd,0.05,100,2801,285,0.0001,100.0,1.63036,82.1,0.8,4.3,0,0
adagrad,0.01,100,401,52,4e-05,100.0,1.61301,83.1,0.2,1.8,0,0
sgd,0.01,100,14401,1476,0.0001,100.0,1.9342,80.4,2.2,9.1,0,0
adagrad,0.1,100,4201,557,9e-05,100.0,2.5211799999999998,79.9,3.6,33.2,0,0
sgd,0.1,100,1401,141,9e-05,100.0,1.4858799999999999,82.6,0.5,2.8,0,0
sgd,0.025,100,5801,588,0.0001,100.0,1.79338,81.3,1.4,6.0,0,0
adagrad,0.025,100,601,79,0.0001,100.0,1.85175,82.0,0.7,6.7,0,0
sgd,0.075,1000,19401,1248,0.0001,100.0,1.52488,82.3,0.7,3.8,0,0
adagrad,0.075,1000,20000,1282,0.0036200000000000004,99.9,4.07565,76.8,5.6,71.1,0,0
lbfgs,0.025,1000,400,1297,0.0,100.0,7.343739999999999,79.7,0.0,0.0,0,0
adagrad,0.05,1000,20000,1335,0.016980000000000002,99.7,4.2875,75.2,5.4,45.0,0,0
lbfgs,0.1,1000,400,698,0.0,100.0,9.44857,80.1,0.0,0.0,0,0
sgd,0.05,1000,20000,1427,0.00016,100.0,1.54815,81.8,1.4,7.1,0,0
adagrad,0.01,1000,1601,117,8e-05,100.0,1.33481,83.4,0.5,4.2,0,0
sgd,0.01,1000,20000,1428,0.00207,100.0,1.31649,81.1,29.5,126.6,0,0
sgd,0.05,5,148,244,0.0001,100.0,1.6390200000000001,82.7,0.0,1.0,0,0
adagrad,0.05,5,118,397,0.0001,100.0,2.01461,81.9,0.0,3.0,0,0
sgd,0.1,25,300,122,0.0001,100.0,1.4862,82.9,0.0,2.0,0,0
adagrad,0.1,25,1490,1075,0.0001,100.0,2.95693,80.0,3.0,56.0,0,0
sgd,0.075,25,380,165,0.0001,100.0,1.51613,82.7,0.0,2.0,0,0
sgd,0.01,1000,19999,1863,0.0020399999999999997,100.0,1.3408799999999998,81.0,31.0,133.0,0,0
lbfgs,0.075,1000,400,488,0.0,100.0,10.32174,79.7,0.0,1.0,0,0
adagrad,0.01,1000,2000,188,7e-05,100.0,1.3951,83.2,0.0,3.0,0,0
sgd,0.025,1000,19999,1733,0.00043,100.0,1.54014,80.9,5.0,24.0,0,0
lbfgs,0.01,1000,400,698,0.0,100.0,4.68824,80.2,0.0,0.3,0,0
adagrad,0.025,1000,2000,215,0.0001,100.0,1.6003100000000001,82.9,1.0,11.0,0,0
